id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,counterpress,interception_outcome_id,interception_outcome_name,pass_switch,off_camera,out,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,dribble_overrun,pass_cross,50_50_outcome_id,50_50_outcome_name,foul_committed_advantage,foul_won_advantage,pass_assisted_shot_id,pass_shot_assist,dribble_nutmeg,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_technique_id,pass_technique_name,pass_inswinging,shot_aerial_won,goalkeeper_end_location,clearance_right_foot,shot_first_time,pass_outswinging,clearance_left_foot,foul_committed_type_id,foul_committed_type_name,pass_goal_assist,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,miscontrol_aerial_won,injury_stoppage_in_chain,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,pass_through_ball,goalkeeper_punched_out,timestamp_seconds
42a111df-aded-4016-881d-755e1ee71c0d,1,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,442.0,"[{'player': {'id': 6610, 'name': 'Iván Cuéllar Sacristán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6561, 'name': 'Luis Hernández Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8818, 'name': 'Jorge Meré Pérez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 24263, 'name': 'Ismael López Blanco'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 18398, 'name': 'Omar Mascarell González'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 18925, 'name': 'Ignacio Cases Mora'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 6926, 'name': 'Alen Halilović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 6581, 'name': 'Jonathan Rodríguez Menéndez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 40822, 'name': ""Daniel Arnaud N''Di\t""}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 33}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
8428e9ab-ad8a-454c-8dc3-06e941bd77f2,2,1,00:00:00.000,0,0,1,0.0,35,Starting XI,1041,Sporting Gijón,1,Regular Play,208,Las Palmas,4231.0,"[{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6929, 'name': 'José Vicente Gómez Umpiérrez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6608, 'name': 'Nabil El Zhar'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6928, 'name': 'Pedro Taunausú Domínguez Placeres'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
5358faeb-7e9c-495a-b48b-11103434cbdb,3,1,00:00:00.000,0,0,1,0.0,18,Half Start,1041,Sporting Gijón,1,Regular Play,208,Las Palmas,,,['6a916939-9e6b-42ad-a8b9-fb691690ccd5'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
6a916939-9e6b-42ad-a8b9-fb691690ccd5,4,1,00:00:00.000,0,0,1,0.0,18,Half Start,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['5358faeb-7e9c-495a-b48b-11103434cbdb'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
1671adc5-9898-45e4-b52f-bcd2291ad423,5,1,00:00:00.849,0,0,2,0.324977,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['43e1285b-7d52-4950-a323-0c88066afd77'],"[60.0, 40.0]",6926.0,Alen Halilović,12.0,Right Midfield,40822.0,Daniel Arnaud N''Di	,2.4515302,-1.7761917,1.0,Ground Pass,"[59.5, 37.6]",40.0,Right Foot,65.0,Kick Off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.849
43e1285b-7d52-4950-a323-0c88066afd77,6,1,00:00:01.174,0,1,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['1671adc5-9898-45e4-b52f-bcd2291ad423'],"[59.5, 37.6]",40822.0,Daniel Arnaud N''Di	,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.174
04989ee3-febf-41e4-8b9f-a6e9337939c4,7,1,00:00:01.174,0,1,2,1.214127,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['59c7bf95-d0f2-4cf0-8f00-732da029f35b'],"[58.8, 37.6]",40822.0,Daniel Arnaud N''Di	,24.0,Left Center Forward,18398.0,Omar Mascarell González,9.20489,3.1089954,1.0,Ground Pass,"[49.6, 37.9]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.174
59c7bf95-d0f2-4cf0-8f00-732da029f35b,8,1,00:00:02.388,0,2,2,,42,Ball Receipt*,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,['04989ee3-febf-41e4-8b9f-a6e9337939c4'],"[49.6, 37.9]",18398.0,Omar Mascarell González,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.388
4c9c92a9-e392-4e61-815a-f1925291f844,9,1,00:00:02.388,0,2,2,0.958348,43,Carry,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['09c185fb-3fbe-42d3-a372-ab19eb3ff975', '59c7bf95-d0f2-4cf0-8f00-732da029f35b']","[49.6, 37.9]",18398.0,Omar Mascarell González,9.0,Right Defensive Midfield,,,,,,,,,,,,"[48.7, 44.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.388
09c185fb-3fbe-42d3-a372-ab19eb3ff975,10,1,00:00:03.346,0,3,2,2.863963,30,Pass,1041,Sporting Gijón,9,From Kick Off,1041,Sporting Gijón,,,"['20045d06-2021-4483-a2f8-9195594801cd', '66b35de9-3912-46e5-922c-58faca5e2b4d']","[48.7, 44.9]",18398.0,Omar Mascarell González,9.0,Right Defensive Midfield,6880.0,Arnaldo Antonio Sanabria Ayala,50.685894,-0.6115341,3.0,High Pass,"[90.2, 15.8]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.346
